iteration	loss	baseline	error	formula	error	
1	0.72316062	0.13402665	0.13402665	1.62387955	(0.1064*((((0.0738*(1)+-0.0588*(1)+0.4475*(1)+0.2506*(1)+0.2221*(1)+0.0908*(1)+0.2210*(1)+0.3329*(1)+0.1175*(1)+0.1317*(1)+0.2843*(1)+0.1088*(1)+0.0738*(1)+0.0959*(1)+0.2557*(1)+0.1931*(1)+0.0873*(1)+0.1033*(1)+0.2598*(1)+0.1673*(1)+0.1514*(1)+0.3323*(1)+0.3156*(1)+0.1079*(1)+0.2017*(1)+0.3364*(1)+0.3383))-((-0.1962*((x0)**2)+-0.1966*((x1)**2)+-0.2628*((x2)**2)+-0.2086*((x3)**2)+-0.2380*((x4)**2)+-0.1010*((x5)**2)+-0.2602*((x6)**2)+-0.1543*((x7)**2)+-0.1777*((x8)**2)+-0.1995*((x9)**2)+-0.2038*((x10)**2)+-0.1605*((x11)**2)+-0.2107*((x12)**2)+-0.2354*((x13)**2)+-0.1992*((x14)**2)+-0.2429*((x15)**2)+-0.1880*((x16)**2)+-0.0535*((x17)**2)+-0.1720*((x18)**2)+-0.1897*((x19)**2)+-0.1840*((x20)**2)+-0.1205*((x21)**2)+-0.1749*((x22)**2)+-0.2577*((x23)**2)+-0.1884*((x24)**2)+-0.2709*((x25)**2)+-0.3328))))**2+0.0874)	
2	1.60741961	0.13627039	0.17890160	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
3	0.86220306	0.13429144	0.09669166	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
4	0.09547610	0.13295682	0.10759904	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
5	0.44814703	0.13258477	0.12551562	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
6	0.50663871	0.13278663	0.13662224	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
7	0.31911537	0.13239370	0.12492808	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
8	0.53036851	0.13036509	0.09182154	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
9	0.21693075	0.12913230	0.10570951	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
10	0.32098180	0.12968491	0.14018454	0.04631663	(-1.0251*(((-0.0054*(cos(x0))+0.0530*(cos(x1))+-0.1943*(cos(x2))+-0.0077*(cos(x3))+-0.0439*(cos(x4))+0.0890*(cos(x5))+0.0773*(cos(x6))+0.0862*(cos(x7))+-0.0533*(cos(x8))+0.1229*(cos(x9))+-0.0967*(cos(x10))+0.0488*(cos(x11))+-0.1324*(cos(x12))+0.0569*(cos(x13))+0.0358*(cos(x14))+0.0284*(cos(x15))+0.0210*(cos(x16))+-0.0834*(cos(x17))+0.0993*(cos(x18))+0.2091*(cos(x19))+-0.0406*(cos(x20))+0.0520*(cos(x21))+0.1138*(cos(x22))+-0.0136*(cos(x23))+0.0394*(cos(x24))+-0.1009*(cos(x25))+0.0845))-((0.0983*((x0)**2)+0.4842*((x1)**2)+0.5482*((x2)**2)+0.4729*((x3)**2)+0.4989*((x4)**2)+0.4719*((x5)**2)+0.4567*((x6)**2)+0.4843*((x7)**2)+0.5226*((x8)**2)+0.4562*((x9)**2)+0.5119*((x10)**2)+0.4515*((x11)**2)+0.5312*((x12)**2)+0.4536*((x13)**2)+0.4524*((x14)**2)+0.4952*((x15)**2)+0.4863*((x16)**2)+0.5177*((x17)**2)+0.4662*((x18)**2)+0.4253*((x19)**2)+0.4974*((x20)**2)+0.4123*((x21)**2)+0.4397*((x22)**2)+0.5167*((x23)**2)+0.4591*((x24)**2)+0.4995*((x25)**2)+0.1275)))+0.3040)	
