iteration	loss	baseline	error	formula	error	
1	4.65607166	0.63501561	0.63501561	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
2	1.45499134	0.63543367	0.64337671	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
3	0.86151618	0.64049506	0.73666233	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
4	5.67722273	0.63929039	0.61640149	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
5	0.73593181	0.64387482	0.73097962	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
666	0	0	2-1-2-6-0-6-2-7-2-	0.00017864	(((-0.8236*exp((((0.0044*(x0)+-0.0176*(x1)+0.0536*(x2)+0.0509*(x3)+-0.0187*(x4)+-0.0942*(x5)+0.1149))*((0.1204*(x0)+0.0642*(x1)+0.1208*(x2)+-0.1175*(x3)+0.0207*(x4)+0.0171*(x5)+-0.1792))))+-0.5486))+((0.4125*(((-0.5509*(exp(x0))+0.8387*(exp(x1))+0.8517*(exp(x2))+0.8589*(exp(x3))+0.8141*(exp(x4))+0.8455*(exp(x5))+-0.2566))-((-0.1168*(sin(x0))+-0.2787*(sin(x1))+-0.2461*(sin(x2))+-0.0656*(sin(x3))+-0.3829*(sin(x4))+-0.2049*(sin(x5))+0.0089)))+-0.5647)))	
666	0	0	5-2-4-2-2-7-1-5-8-	0.00031936	(((0.6873*(((0.1166*((x0)**4)+-0.3527*((x1)**4)+-0.2891*((x2)**4)+-0.3742*((x3)**4)+-0.2651*((x4)**4)+-0.3507*((x5)**4)+0.1076))-((0.0711*((x0)**3)+-0.9586*((x1)**3)+-0.8737*((x2)**3)+-0.9877*((x3)**3)+-0.8416*((x4)**3)+-0.9562*((x5)**3)+-0.0818)))+-0.0563))-((-0.0877*cos((((0.0284*(sin(x0))+0.0117*(sin(x1))+0.0404*(sin(x2))+-0.0430*(sin(x3))+0.1047*(sin(x4))+-0.0536*(sin(x5))+-0.0974))*((0.1084*((x0)**4)+-0.0937*((x1)**4)+0.0572*((x2)**4)+0.0229*((x3)**4)+-0.2694*((x4)**4)+0.0565*((x5)**4)+-0.1057))))+-0.2543)))	
666	0	0	0-0-8-7-0-2-2-5-0-	0.00137575	(((-1.7316*sin((((-0.2501*(0)+0.1231*(0)+-0.0277*(0)+0.0315*(0)+-0.0241*(0)+0.0525*(0)+-0.8558))+((-0.1833*(cos(x0))+-0.7092*(cos(x1))+-0.7102*(cos(x2))+-0.7093*(cos(x3))+-0.7087*(cos(x4))+-0.7105*(cos(x5))+-0.4293))))+1.4087))+((-0.0670*(0)+1.3666)))	
666	0	0	1-2-3-0-1-3-2-7-4-	0.00229519	(((0.2079*(0)+-0.3343))*((0.3864*((((-0.1620*((x0)**2)+-0.1043*((x1)**2)+-0.1034*((x2)**2)+-0.1094*((x3)**2)+-0.1016*((x4)**2)+-0.1064*((x5)**2)+-0.0600))-((0.2617*(sin(x0))+0.3050*(sin(x1))+0.3055*(sin(x2))+0.2838*(sin(x3))+0.3055*(sin(x4))+0.2950*(sin(x5))+0.4109))))**3+-0.3812)))	
666	0	0	4-0-1-7-1-0-1-8-3-	0.00411264	(((-0.9841*sin((((-0.0732*((x0)**3)+0.2064*((x1)**3)+0.2061*((x2)**3)+0.2058*((x3)**3)+0.2063*((x4)**3)+0.2062*((x5)**3)+-0.1987))+((-0.2102*(1)+-0.0976*(1)+-0.0216*(1)+-0.1690*(1)+0.0166*(1)+-0.1329*(1)+-0.1098))))+-1.4347))*((-0.1676*((((0.0667*(0)+0.0696*(0)+-0.1260*(0)+-0.1223*(0)+0.0940*(0)+0.0366*(0)+0.0463))*((-0.0955*(cos(x0))+-0.2303*(cos(x1))+-0.3351*(cos(x2))+-0.3430*(cos(x3))+-0.1448*(cos(x4))+-0.0512*(cos(x5))+-0.0536))))**2+-1.6966)))	
